name,avg_price,recommended_dishes
满巍明生炸鸡架(上海国华广场店),￥23,招牌生炸鸡架、究极鸡腿肉、巨炸甘梅地瓜
M Stand(上海江湾里店),￥35,咸芝士拿铁、香烤坚果拿铁、朗姆葡萄拿铁（无酒精）
邵万生·鲜卤熟食(平昌市场店),￥29,招牌酱鸭、苔条花生、马兰头
上海 · Miiix Coffee,￥20,菠萝气泡美式、话梅气泡美式
南京小笼汤包馆(吉浦路店),￥29,南京小笼汤包、金陵老鸭粉丝汤、雪菜肉丝面
麦当劳(上海杨浦尚浦中心店),￥26,麦辣鸡腿堡套、吃堡三件套随心搭、板烧鸡腿堡单次券
大米先生(国正中心店),￥27,农家小炒肉、西红柿炒鸡蛋、爆炒牛肉
Bazinga Coffee(政民路店),￥21,水牛奶拿铁、大凤梨美式、冰博克拿铁
卢德四遵义虾子羊肉粉(五角场店),￥26,麻辣花洋芋、干拌羊肉粉、羊肠
彭浦一炸(五角场店),￥24,手枪大鸡腿、脆皮年糕、火腿肠
阿香米线(大润发店),￥30,阿香番茄米线、过桥米线、阿香麻辣米线
食其家·牛丼咖喱(三号湾店),￥32,牛肉、土豆饼、炖蛋
窄巷口生烫牛肉米线(黄兴路店),￥23,老手艺肉酱米线、鲜切吊龙肉、云南包浆豆腐
麦当劳(杨浦君庭广场店),￥30,薯条、麦辣鸡翅、双层吉士汉堡
杨国福麻辣烫(五角场政旦东路店),￥32,秘制汤底、麻辣烫、玉米
大米先生(政民路店),￥30,糖醋排骨、小炒脆笋、招牌小煎鸡
煌上煌(五角场万达店),￥39,手撕酱鸭、鸭锁骨、鸭掌
正烧记现捞卤味(五角场万达店),￥34,猪耳朵
大王锅贴(政通路店),￥22,大王锅贴、豆花、鸭血汤
辣风芹·新疆炒米粉(五角场店),￥23,牛肉炒全家福、鸡肉炒米粉、鸡肉炒米粉馕饼双拼
东北正宗云南过桥米线(五角场店),￥23,全家福米线
食其家·牛丼咖喱(国正中心店),￥30,日式爽滑蒸蛋、温泉蛋牛肉鳗鱼丼、麻婆豆腐牛丼
嗦粉嫂遵义羊肉粉(五角场店),￥22,羊肉粉、酸辣竹笋尖、红烧牛肉粉
刘仙仙牛肉生烫米线(尚浦中心店),￥31,牛肉生烫米线、招牌肉酱米线、小酥肉
秦丫头·西安小吃(五角场店),￥25,老潼关纯瘦肉夹馍、陕西特色biangbiang面、秘制红油手工凉皮
老娘舅(政民路店),￥26,茶树菇老鸭、霉干菜扣肉、鱼香肉丝单品二线
肯德基(杨浦吉浦湾店),￥32,吮指原味鸡(1块装)、香辣鸡翅（2块装）、葡式蛋挞(经典)
紫燕百味鸡(政通店),￥35,夫妻肺片、百味鸡、藤椒鸡
粤雅廣式烧味,￥24,广式烧鸭、蜜汁叉烧、潮州肉卷
蘭誦茶事(复旦大学店),￥22,茉莉雪语
琦王花生(五角场万达店),￥29,招牌五香花生、原味瓜子、原切香芋片（海盐味）
西安味道(国定路店),￥23,传统肉夹馍、油泼面、汉中米皮
肯德基(复旦大学科技楼店),￥31,香辣鸡腿堡、劲爆鸡米花、薯条
唐饼家(第一食品五角场店),￥36,
多乐之日(黄兴大润发店),￥26,巧克力麦芬、巧克力号角、夏日泡芙
稣二娘(三门路店),￥20,蔬菜云吞、全家福饺子、玉米虾仁饺
Super Model超模厨房(五角场店),￥27,招牌烤鸡牛肉、招牌香料烤鸡胸、荞麦包
贵州茅占鲜烫牛肉粉,￥23,鲜烫牛肉粉、原汤牛肉粉、泡椒牛腩粉
国富面馆(国年路店),￥22,凉菜、雪菜肉面、肥肠面
柳李李柳州螺蛳粉(五角场店),￥24,柳州原味螺蛳粉、黄金炸蛋、带皮鸭脚
金陵老鸭粉丝汤(五角场店),￥22,老鸭粉丝汤、鸭肠、鸭血粉丝
朝花夕食,￥31,酱爆猪肝、大虾焗花蛤、汤面
豫八珍·牛肉胡辣汤·水煎包·肉夹馍·焖面(五角场店),￥20,牛肉水煎包1个、油馍头、老面鲜肉小笼包
米麒麟云南小锅米线(五角场店),￥28,菌菇鲜肉小锅米线、菌菇小锅米线、云南石屏豆腐
川天椒麻辣烫(五角场店),￥20,东北老式麻辣烫、东北老式冷面、炸包心菜
华莱士·全鸡汉堡(五角场店),￥22,香辣鸡腿堡套、咔滋脆鸡肉堡、香辣鸡排堡
肯德基(国正中心店),￥29,圣诞小食炸鸡桶、培根鸡腿肉霸堡、新春享全鸡
德厚惠小馆,￥27,招牌卤肉饭、德厚牛丼饭、干锅牛蛙
金城红烧牛肉面河南滋补烩面拉面(万达广场店),￥22,红烧牛肉拌面、红烧大肠拌面、白切牛肉面
漠漠家· 超级潼关肉夹馍(国正中心店),￥21,脆皮腊汁肉夹馍、红油麻酱凉皮、油泼扯面
广城记·港式茶餐厅(五角场店),￥25,
屿园沙茶面(五角场店),￥32,
旺德福·石磨肠粉.煲仔饭(财大店),￥25,广式鸡蛋肉沫肠粉、招牌腊味煲仔饭、肉末牛肉肠粉
桐乡面之缘(国定东路店),￥35,
袁记云饺(三门路店),￥25,
