name,avg_price,recommended_dishes
谷牛和牛烤肉(百联又一城店),￥120,谷牛心头肉、雪花肥牛、醉爱牛小排
鸟贵族·平价烧鸟(上海首店),￥100,特大京葱鸡腿肉、盐烤鸡皮、盐烤鸡胗
芸山季·云南野生菌火锅(合生汇店),￥146,土鸡菌汤锅、见手青、羊肚菌
源康美食(复华商业大厦店),￥104,白切鸡、养生大拌菜、干煎臭豆腐
叮咚买菜(国定站),￥90,
SEVEN柒· Bistro 烧鸟酒馆,￥103,扇贝裙边、香菇、京葱五花肉
荷塔威麦卢卡蜂蜜(万达第一食品店),￥89,
蟹庄缘阳澄湖大闸蟹(五角场店),￥415,清蒸大闸蟹、香辣大闸蟹、水煮大闸蟹
觅蟹台阳澄湖大闸蟹(国权路店),￥102,蟹之斋阳澄湖大闸蟹礼盒、公蟹、阳澄湖大闸蟹礼品卡
王奋斗贵州酸汤牛肉火锅,￥131,黄牛肉、玉米粑粑、酸菜锅
阿鼎港式沙茶牛腩煲(魔都首店),￥104,沙茶牛腩煲、海盗沙茶太阳鸡扒、鸡牛猪三拼
马厂老火锅(复旦大学店),￥121,冷锅鸭血、手切吊龙、马厂全红锅
闽兴精品水果行(长海路店),￥127,店内水果、橘子
品鲜大牌档(三门路店),￥122,铁板香芋、烤排、香锅牛蛙
易宴·徽菜(创智天地店),￥280,徽州臭鳜鱼、休宁烧黄牛肉、干炒巢县白米虾
菲芘酒吧(杨浦旗舰店),￥238,精美果盘、马天尼香槟、威士忌洋酒
苏鲜一品阳澄湖大闸蟹(五角场店),￥163,小黄阳澄湖大闸蟹、阳澄湖大闸蟹礼品卡
梦姐龙虾·烧烤海鲜大排档(五角场店),￥113,招牌十三香龙虾、网红秘制龙虾、香辣螺丝
滩未江西菜,￥125,
九豪创意中国菜(财大豪生店),￥365,燕麦虾球、蒜香鹅肝牛仔粒、松茸炖鸡汤
复宴私厨(闸殷路店),￥207,黑松露蟹粉玉米羹、桂花炒松叶蟹、芥味一品虾
YOLO有楽homebar,￥146,金汤力、鸡尾酒畅饮、马天尼
来伊份(政立路店),￥85,牛肉豆脯、柠檬味碧根果仁儿、来伊份香辣牛肉
ASL(杨浦店),￥142,乔恩特威士忌、白兰地洋酒、水果拼盘
宫品海参专卖店(杨浦五角场店),￥2140,宫品品尊天下高端有机即食海参、海参小米粥、煲汤
扎啤烧烤(三门路店),￥86,铁板炒面、凉拌黄瓜、包浆豆腐
巧姐鱼蛙自助火锅,￥90,招牌菊花鱼、三拼牛肉、吊吊鱼
燕之屋·燕窝(合生汇店),￥2312,品鉴 ·飞天款碗燕、金汤碗燕、碗燕·飞天款
哇鱿鱼(万达广场店),￥96,烤鱿鱼丝、肉松、鳕鱼
美珍香BEE CHENG HIANG(百联又一城店),￥98,猪肉脯、香酥猪肉松、切片烧烤猪肉
张奶奶海参(五角场店),￥231,张奶奶即食海参、佛跳墙、海参肽粉
雷允上诵芬堂·燕窝·海参·虫草,￥679,铁皮石斛、雷允上诵芬堂破壁灵芝孢子粉、精品桃胶
青年公社烤鸭(创智天地店),￥117,桂花香烤鸭、炙子烤羊肉、老北京桂花酸奶
MAVERICK小牛·西餐厅(合生汇店),￥145,菲力牛排、牛肝菌蘑菇汤、烤虾蔬果沙拉
申梦·上荷(吉浦路店),￥91,招牌牛仔粒、荔浦芋头煲、农家小炒笋丝
韩宴酱蟹烤肉店(百联又一城店),￥110,御厨酱蟹、御厨酱辣蟹、烤活鳗鱼
胖哥俩肉蟹煲(五角场第一食品城店),￥90,招牌肉蟹煲、鸡爪煲、牛蛙煲
济州岛韩式无限量自助烤肉(政民路店),￥81,粉丝生蚝、肥牛、羊肋排
西塔老太太泥炉烤肉(五角场万达店),￥128,横隔膜牛肉、老太太特色肥瘦、特味牛五花
张老板私房菜(国华店),￥99,中辣红烧大肠、酱爆腰花、大肠肚肺汤
禧主子·炭火烤肉·活烤鳗鱼(五角场店),￥110,活烤鳗鱼、主子拌牛肉、东北酸菜
上海哈尔滨食品厂(百联又一城购物中心店),￥82,
地锅鸡(吉浦路店),￥82,
有喜屋·日料·居酒屋(国华广场店),￥112,三文鱼刺身、黑松露和牛鹅肝饭、大满足鹅肝寿司
八宝香酥鸭,￥87,整只香酥鸭
南里山房(合生汇店),￥129,桂花无骨酥鱼、拆烩鱼羹、火焰牛仔粒
福八·IZAKAYA焼鳥専門店(五角场大学路店),￥153,鸡横膈馍、鸡心边、提灯
