name,avg_price,recommended_dishes
沙粉粉面庄,￥32,羊肉烩面、超级无敌卤肉拼盘、豆角肉丝卤面
隐飲(江湾星秀场店),￥35,精品手冲、生椰拿铁、澳白
富强街·葱油饼行(太平洋森活天地店),￥11,葱油鸡蛋饼、葱油饼、韭菜鸡蛋饼
COSTA COFFEE(百联又一城店),￥32,焦糖布蕾拿铁、哥伦比亚单品豆美式、香草焦糖卡布奇诺
家味螺蛳粉&烤鱼(五角场店),￥31,原味螺蛳粉生粉、猪脚螺蛳粉、炸腐竹
Potato Corner(上海百联ZX造趣场店),￥28,酸奶油洋葱、浓郁烧烤、奶香芝士
福福饼店·金牌酥皮菠萝包(五角场苏宁广场店),￥20,金牌酥皮菠萝包、芝士肠仔包、咸蛋黄流沙包
蜜雪冰城(五角场中心店),￥7,冰鲜柠檬水、草莓雪王大圣代、奥利奥雪王大圣代
刘文祥麻辣烫(五角场店),￥30,老式麻辣烫
ALL MATCHA KYOTO(百联造趣场店),￥24,奶油草莓、红豆铜锣烧、抹茶冰淇淋
BONJOUR本就(上海大学路uni店),￥26,浮云鲜牛乳、芭乐柠檬茶、黑金芝麻牛乳
喜家德虾仁水饺(太平洋森活天地店),￥33,喜三鲜水饺、西芹鲜肉水饺、黑芝麻红豆丸子
临榆炸鸡腿(杨浦区五角场店),￥13,鸡腿、鸡全翅、炸菌菇
马记永·兰州牛肉面(杨浦国华广场店),￥36,大片牛腱子兰州牛肉面、钢钎羊肉、红枣茶
DREAMECAFE Plus 追觅咖啡(江湾里店),￥30,冷萃、澳白、双子拿铁
煲珠公·老红糖珍珠奶茶(太平洋森活天地店),￥14,老红糖珍珠奶茶、广西水牛奶珍珠奶茶、老红糖珍珠牛奶
麦当劳(杨浦创智天地下壹站店),￥27,薯条、麦辣鸡腿堡、麦辣鸡翅
M Stand(百联又一城店),￥32,生椰dirty、咸芝士拿铁、冰摇香橙美式
宋小琪老街麻辣烫(五角场店),￥31,经典麻辣烫、童年淀粉肠、番茄口味麻辣烫
一拳萝卜(五角场店),￥35,酱香萝卜皮、酸甜萝卜
奈雪的茶(百联又一城店),￥21,霸气芝士草莓、霸气桃、霸气橙子
广东牛杂铺(杨浦店),￥36,手打潮汕牛肉丸粉、美味牛肚粉、牛宽肠粉
阿佑鲜烫牛肉米线(三门路店),￥21,云南炸酱米线、鲜烫牛吊龙、网红炸蛋
CUBIC3三立方咖啡(万达广场店),￥15,XXXL超桃子美式、超燕麦拿铁、超生椰拿铁
赵同壹山西刀削面,￥24,山西油泼刀削面、招牌传统猪肉刀削面、红烧牛肉刀削面
